Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Office365.PacUtil.csproj,File,Office365.PacUtil.csproj,,,Microsoft.Extensions.Configuration 8.0.0,,,,,"Microsoft.Extensions.Configuration, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Office365.PacUtil.csproj,File,Office365.PacUtil.csproj,,,Microsoft.Extensions.Configuration.Json 8.0.0,,,,,"Microsoft.Extensions.Configuration.Json, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Office365.PacUtil.csproj,File,Office365.PacUtil.csproj,,,Microsoft.Extensions.Hosting 8.0.0,,,,,"Microsoft.Extensions.Hosting, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Office365.PacUtil.csproj,File,Office365.PacUtil.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Office365.PacUtil.csproj,File,Office365.PacUtil.csproj,,,System.Configuration.ConfigurationManager 8.0.0,,,,,"System.Configuration.ConfigurationManager, 8.0.0  Recommendation:  Remove System.Configuration.ConfigurationManager, and replace with new package System.Configuration.ConfigurationManager 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Office365.PacUtil.csproj,File,Office365.PacUtil.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Office365.PacUtil.csproj,File,Services\PacFileService.cs,190,16,T:System.Net.Http.HttpContent,,,,,var content = result?.Content == null ? null : await result.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Office365.PacUtil.csproj,File,Services\PacFileService.cs,190,16,T:System.Net.Http.HttpContent,,,,,var content = result?.Content == null ? null : await result.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Office365.PacUtil.csproj,File,Services\PacFileService.cs,122,16,T:System.Net.Http.HttpContent,,,,,var content = result?.Content == null ? null : await result.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Office365.PacUtil.csproj,File,Services\PacFileService.cs,122,16,T:System.Net.Http.HttpContent,,,,,var content = result?.Content == null ? null : await result.Content.ReadAsStringAsync();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Office365.PacUtil.csproj,File,Services\PacFileService.cs,104,16,T:System.Configuration.ConfigurationErrorsException,,,,,"throw new ConfigurationErrorsException(""Missing configuration for 'Instance'"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Office365.PacUtil.csproj,File,Services\PacFileService.cs,104,16,M:System.Configuration.ConfigurationErrorsException.#ctor(System.String),,,,,"throw new ConfigurationErrorsException(""Missing configuration for 'Instance'"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Office365.PacUtil.csproj,File,Services\PacFileService.cs,99,16,T:System.Configuration.ConfigurationErrorsException,,,,,"throw new ConfigurationErrorsException(""Missing configuration for 'DataPath'"");"
